id,link,hashtags,urls
1272930709053804551,https://twitter.com/OurRadiantEarth/status/1272930709053804551,"['#machinelearning', '#covid19', '#tutorialtuesday', '#satelliteimages', '#geocovid']",['http://ow.ly/CYe450A88xi']
1272896948379561990,https://twitter.com/GeoMaisonobe/status/1272896948379561990,['#geocovid'],['https://tinyurl.com/yby3dbcd']
1272611756096004098,https://twitter.com/emanoelreisAP/status/1272611756096004098,[],['https://amazoniaviaamapa.wordpress.com/2020/06/15/flexibilizacao-do-comercio-em-macapa-pode-aumentar-contagio-diz-boletim-do-geocovid-19/']
1272610881550143489,https://twitter.com/fbahoken/status/1272610881550143489,"['#geocovid', '#world']",['https://twitter.com/neocartocnrs/status/1272437588939485185']
1272125615106392065,https://twitter.com/solvedgeo/status/1272125615106392065,[],['https://portal.ufpa.br/index.php/ultimas-noticias2/11644-portal-geocovid-19-garante-o-acesso-a-dados-acumulados-da-pandemia-no-brasil']
1271900280360230912,https://twitter.com/fbahoken/status/1271900280360230912,"['#geocovid', '#france']",['https://twitter.com/oeinis/status/1265349806026883072']
1271865141248786432,https://twitter.com/UFPA_Oficial/status/1271865141248786432,"['#covid', '#portalufpa']",['http://ow.ly/vBoU30qPkC4']
1271654422297415680,https://twitter.com/mirbole01/status/1271654422297415680,['#geocovid'],['https://twitter.com/oeinis/status/1271497836056674304']
1271620746029268992,https://twitter.com/mapbiomas/status/1271620746029268992,"['#ciência', '#covid19']","['http://covid.mapbiomas.org', 'http://g1.globo.com/globo-news/estudio-i/videos/t/todos-os-videos/v/miguel-nicolelis-faz-projecao-de-explosao-de-casos-de-covid-19-em-julho-e-agosto/8622494/']"
1271518429665689601,https://twitter.com/ljegou/status/1271518429665689601,['#geocovid'],['https://twitter.com/oeinis/status/1271497836056674304']
1271190502935859202,https://twitter.com/fbahoken/status/1271190502935859202,"['#covid19', '#covprehension', '#geocovid', '#data', '#géographie', '#france']",['https://covprehension.org/2020/06/09/q19.html']
1271145814367383552,https://twitter.com/fbahoken/status/1271145814367383552,"['#geocovid', '#italie']",['https://medium.com/anthropocene2050/pourquoi-bergame-analyser-le-nombre-de-test%C3%A9s-positifs-covid-19-%C3%A0-laide-de-la-cartographie-7950cd0b452c']
1271112500537327622,https://twitter.com/OurRadiantEarth/status/1271112500537327622,['#geocovid'],['https://www.youtube.com/watch?v=VYe_4-SWIZ4']
1271104604403650562,https://twitter.com/geo_in_geo/status/1271104604403650562,"['#covid19', '#amazonie', '#geocovid']",['http://repam.org.br/?page_id=4389']
1270781443447369731,https://twitter.com/fbahoken/status/1270781443447369731,"['#geocovid', '#world']",['https://ourworldindata.org/coronavirus']
1270776293546737666,https://twitter.com/mirbole01/status/1270776293546737666,['#geocovid'],['https://twitter.com/ciesin/status/1268985824684707840']
1270746847477448707,https://twitter.com/mirbole01/status/1270746847477448707,"['#mapfail', '#geocovid']",['https://twitter.com/Parcamatt/status/1270664967570837506']
1270733535263916032,https://twitter.com/klebertorres/status/1270733535263916032,[],['https://palavradigital.wordpress.com/2020/06/10/primeiro-boletim-do-portal-geocovid-19-foi-dedicado-a-feira-de-santana-que-teve-o-primeiro-caso-na-bahia/']
1270717421813288962,https://twitter.com/fbahoken/status/1270717421813288962,"['#geocovid', '#france']",['https://covidtracker.fr/covidtracker-france/']
1270707690319347712,https://twitter.com/jornalgrandebah/status/1270707690319347712,[],['https://goo.gl/fb/ATP7Vc']
1270622553804021760,https://twitter.com/neocartocnrs/status/1270622553804021760,['#geocovid'],['https://twitter.com/fbahoken/status/1270380776627089412']
1270574414501994496,https://twitter.com/mirbole01/status/1270574414501994496,['#geocovid'],['https://twitter.com/MichelLussault/status/1270436816450093060']
1270553912039391234,https://twitter.com/medaumbecs/status/1270553912039391234,[],"['http://portalcovid19.uefs.br/', 'https://www.youtube.com/watch?v=yyP6P1rCFjs&list=PLSIGD7-rHf2WkpZA_zgfrI6fyHM3MFXPX']"
1270497575557312512,https://twitter.com/angelocl/status/1270497575557312512,"['#covid19', '#feiradesantana', '#uefs', '#marchapelavida', '#frentepelavida']","['http://portalcovid19.uefs.br', 'https://bit.ly/geocovid19boletim01']"
1270406304708857857,https://twitter.com/arteculturaufba/status/1270406304708857857,['#coronavírus'],['https://bit.ly/3dNq9wT']
1270069991002570752,https://twitter.com/mapbiomas/status/1270069991002570752,[],['http://covid.mapbiomas.org/']
1270053626078167042,https://twitter.com/mirbole01/status/1270053626078167042,['#geocovid'],['https://twitter.com/gmapsmania/status/1270025719305863168']
1269774342440865792,https://twitter.com/tetemarques_/status/1269774342440865792,[],"['http://portalcovid19.uefs.br/', 'http://Brasil.IO']"
1269241963909439490,https://twitter.com/fbahoken/status/1269241963909439490,"['#geocovid', '#monde']",['https://twitter.com/socgeographer/status/1269239074336002048']
1268837277305798656,https://twitter.com/fbahoken/status/1268837277305798656,"['#geocovid', '#amerique', '#latine', '#flowmap', '#geotamtam']",['https://www.inmovilidadamericas.org/']
1268207092785131526,https://twitter.com/OurRadiantEarth/status/1268207092785131526,['#geocovid'],['http://ow.ly/P7wv50zXKKh']
1268194367463882752,https://twitter.com/mirbole01/status/1268194367463882752,"['#geocovid', '#3d']",['https://twitter.com/datagistips/status/1268189016802852866']
1268090324871794688,https://twitter.com/ljegou/status/1268090324871794688,['#geocovid'],['https://link.medium.com/ivD2orGL06']
1267845953589071872,https://twitter.com/OurRadiantEarth/status/1267845953589071872,"['#geocovid', '#eo', '#ml']",['http://ow.ly/pdlq50zVBV3']
1267822613402808323,https://twitter.com/GeoMaisonobe/status/1267822613402808323,"['#geocovid', '#covid19']",['https://tinyurl.com/yc7bzsd4']
1267423281352761346,https://twitter.com/CreaBahia/status/1267423281352761346,[],['http://owl.li/judi30qKmV1']
1267360246466596864,https://twitter.com/mirbole01/status/1267360246466596864,['#geocovid'],['https://twitter.com/tmrhyne/status/1266746651391246339']
1267312047978680321,https://twitter.com/fbahoken/status/1267312047978680321,"['#geocovid', '#afrique', '#flowmap']",['https://twitter.com/CovidMigration/status/1267141789946961923']
1267283797478969346,https://twitter.com/bdxlhzz/status/1267283797478969346,[],['http://covid.mapbiomas.org/']
1267013788819230720,https://twitter.com/fbahoken/status/1267013788819230720,['#geocovid'],['https://twitter.com/tetue/status/1266799255404064769']
1266761837678395394,https://twitter.com/TevaMeyer/status/1266761837678395394,['#geocovid'],['https://www.dna.fr/amp/fil-info/2020/05/30/deconfinement-le-logo-qui-gonfle-jean-rottner-president-du-grand-est?__twitter_impression=true']
1266710964164071424,https://twitter.com/fbahoken/status/1266710964164071424,"['#geocovid', '#flowmap', '#monde']",['https://twitter.com/phcherel/status/1266664931614765056']
1266447030341304334,https://twitter.com/mirbole01/status/1266447030341304334,['#geocovid'],['https://twitter.com/mart1oeil/status/1266409660820656128']
1266411356401602562,https://twitter.com/nico_lambert/status/1266411356401602562,['#geocovid'],['http://geoconfluences.ens-lyon.fr/actualites/eclairage/covid19-mondialisation-demondialisation']
1266337566040743936,https://twitter.com/ljegou/status/1266337566040743936,['#geocovid'],['https://twitter.com/spatialanalysis/status/1265242053300060160']
1266292598961868800,https://twitter.com/Covid19mapping1/status/1266292598961868800,"['#globalgoals', '#geographyteacher', '#geographymatters', '#coronavirus', '#covid19', '#covid19nigeria', '#geocovid']",[]
1266045335715151875,https://twitter.com/OurRadiantEarth/status/1266045335715151875,"['#geocovid', '#foss']",['https://wiki.osgeo.org/wiki/COVID-19_FOSS_initiatives']
1265907697481900033,https://twitter.com/neocartocnrs/status/1265907697481900033,"['#covid19', '#geocovid']",[]
1265904616803143681,https://twitter.com/nico_lambert/status/1265904616803143681,"['#covid19', '#déconfinement', '#geocovid']",[]
1265900758530129921,https://twitter.com/fbahoken/status/1265900758530129921,"['#geocovid', '#france']",['https://twitter.com/Xtophe_Bontemps/status/1265798040067215360']
1265749989365514241,https://twitter.com/MundoGEO/status/1265749989365514241,[],['https://mundogeo.com/2020/05/27/portal-geocovid-19-geotecnologia-no-combate-a-pandemia/']
1265718184277147648,https://twitter.com/OurRadiantEarth/status/1265718184277147648,"['#geocovid', '#covid19']",['http://ow.ly/StNt50zRwe8']
1265659804279812096,https://twitter.com/mirbole01/status/1265659804279812096,['#geocovid'],['https://twitter.com/laquadrature/status/1265574212451946497']
1265652693655224324,https://twitter.com/mirbole01/status/1265652693655224324,['#geocovid'],['https://twitter.com/Geoconfluences/status/1265550384430530568']
1265364938291400706,https://twitter.com/RoelandtN42/status/1265364938291400706,['#geocovid'],['https://twitter.com/OSGeo/status/1265266633481871362']
1265342876982087681,https://twitter.com/fbahoken/status/1265342876982087681,['#geocovid'],['https://twitter.com/Tls_dataviz/status/1265341422171013120']
1265315538936434689,https://twitter.com/OurRadiantEarth/status/1265315538936434689,"['#geocovid', '#covid19']",['http://ow.ly/6Ol050zQoaS']
1265275992886480898,https://twitter.com/mondegeonumeric/status/1265275992886480898,['#geocovid'],['https://twitter.com/Geodoc31/status/1265266114298286080']
1265217758280720386,https://twitter.com/ljegou/status/1265217758280720386,['#geocovid'],['https://twitter.com/GuillaumeRozier/status/1265211185932238848']
1265201595970662402,https://twitter.com/mondegeonumeric/status/1265201595970662402,['#geocovid'],['https://www.lemonde.fr/international/article/2020/05/26/coronavirus-controverse-sur-le-partage-des-donnees-personnelles-dans-les-aeroports-indiens_6040765_3210.html']
1265012560761360384,https://twitter.com/Covid19mapping1/status/1265012560761360384,"['#globalgoals', '#geography', '#geographyteachers', '#geographymatters', '#coronavirus', '#coronaviruspandemic', '#medicalgeography', '#covid19', '#covid19nigeria', '#geocovid', '#pandemic', '#coronaviruspandemic', '#corona']",[]
1264919412467027968,https://twitter.com/fbahoken/status/1264919412467027968,"['#geocovid', '#monde', '#regions', '#pays', '#data', '#maps']","['http://nCoV2019.live', 'https://ncov2019.live/data', 'https://www.lavoixdunord.fr/755318/article/2020-05-21/un-ado-createur-d-un-site-sur-le-covid-19-refuse-une-offre-de-rachat-de-7-3']"
1264858825565319168,https://twitter.com/mondegeonumeric/status/1264858825565319168,['#geocovid'],['https://twitter.com/Benjamin_Pradel/status/1264617617983234048']
1264779455605678081,https://twitter.com/mirbole01/status/1264779455605678081,['#geocovid'],['https://twitter.com/GeographyRealm/status/1264708010825232384']
1264770745428779008,https://twitter.com/mirbole01/status/1264770745428779008,['#geocovid'],['https://twitter.com/PostGraphics/status/1264668224349704193']
1264663302313050119,https://twitter.com/mondegeonumeric/status/1264663302313050119,['#geocovid'],['https://twitter.com/re_sieber/status/1264649723702587393']
1264559149414862848,https://twitter.com/mirbole01/status/1264559149414862848,"['#geocovid', '#mapfail']",['https://twitter.com/IFckingLoveMaps/status/1264541902201913351']
